name,category,primary_type,phone_number,website,address,rating,reviews,maps_url
Village Article,manufacturer,furniture_store,9899523228,,"Shop No - 2, Arjangarh, Opposite pillar no - 189, M.G Road, Aya nagar, Arjan Garh, Aya Nagar, New Delhi, Delhi 110047, India",4.4,16,https://maps.google.com/?cid=12854225234459411598&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ExcelDes Architects & Interior Designers,manufacturer,general_contractor,9873577619,https://exceldes.com/best-luxury-interior-designers-in-gurgaon/,"146, Akashneem Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",5,15,https://maps.google.com/?cid=7862708578924014315&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Kajal Brass Arts,manufacturer,manufacturer,9818035656,,"Shop No. 1, ECO CNG SHOP, near Furniture Market, Nathupur, Sector 24, Gurugram, Sikanderpur Ghosi, Haryana 122010, India",4.4,14,https://maps.google.com/?cid=9073356569535473531&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Grand Prints Pvt. Ltd.,manufacturer,manufacturer,9818450927,https://www.grandprintsindia.com/,"133-134, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",4.6,14,https://maps.google.com/?cid=16235808966677310437&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
PR Dezign & Print,manufacturer,manufacturer,9899322450,https://pr-dezign-print.grexa.site/,"Shop No. 25B, Near Metro Pillar 50 Mehrauli-Gurgaon Rd, Sikanderpur Rd, Sikanderpur, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",5,12,https://maps.google.com/?cid=7632925104718369763&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Zayn,manufacturer,clothing_store,9910494695,http://www.zayncouture.in/,"7, Market Rd, opposite E1 Block, Block E, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",4.3,9,https://maps.google.com/?cid=11974913631016451698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Dlf Phase 4,manufacturer,store,9818333849,,"F39G+5RJ, Hamilton Ct Rd, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.6,9,https://maps.google.com/?cid=4285132857705889391&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Jain Enterprises (The Marble and granite firm),manufacturer,manufacturer,9899267260,,"Jain Enterprises, 14, Mehrauli-Gurgaon Rd, opposite metro pillar no, Arjan Garh, Sector 24, Gurugram, Haryana 122002, India",5,9,https://maps.google.com/?cid=10318889857501008760&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Sound oF Music,manufacturer,manufacturer,9810050300,http://www.soundofmusic.cc/,"No. 1000, Opposite Pillar #188, Metro Station, next to Arjan Garh, Arjan Garh, Aya Nagar, New Delhi, Delhi 110047, India",4.6,9,https://maps.google.com/?cid=18249150369432684808&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A s wood work carpenter,manufacturer,manufacturer,9654387535,,"Golf Course Rd, Sector 57, Sector 43, Gurugram, Haryana 122009, India",4.5,8,https://maps.google.com/?cid=17668715257184984614&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Deepanshu Mechanical & Electrical Services,manufacturer,manufacturer,9811570868,https://deepanshumechanicalelectricalservices.com/,"Sub.Major Laxmi Chand Rd, Sector 18, Sarhol, Sector 18, Gurugram, Haryana 122015, India",4.9,8,https://maps.google.com/?cid=7967420100746273419&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Puzzl Co,manufacturer,manufacturer,8800717647,https://www.amazon.in/stores/THEPUZZLCO/page/58EC7CD9-28AA-4CB8-BDA2-B15962418AA3?lp_asin=B0DG367VPW&ref_=cm_sw_r_ud_ast_store_JHJHS06C823126BM2081&store_ref=bl_ast_dp_brandlogo_sto,"473, Urban Estate, 473, Urban Estate, Sector 43, Gurugram, Haryana 122009, India",5,7,https://maps.google.com/?cid=4708898954417678382&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BraaiCraft,manufacturer,manufacturer,9980851233,https://www.braaicraft.com/,"150, The National Media Centre, Sector 24, Gurugram, Haryana 122002, India",5,7,https://maps.google.com/?cid=10202035394158606253&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
AvansChem Speciality Chemicals,manufacturer,manufacturer,9599609443,http://www.avanschem.com/,"Plot no 667, FF, Udyog Vihar Phase V Rd, opposite Water Tank, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",4.3,7,https://maps.google.com/?cid=10106504148824047246&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
NK Global,manufacturer,manufacturer,8586934780,,"PLOT NO 155-156, 2nd Floor, F3FM+C3H, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",4.2,6,https://maps.google.com/?cid=9509172856026955495&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Archit Power Services,manufacturer,manufacturer,9811805204,http://www.architpower.com/,"2Nd Floor, Dt Mega Mall, 225, Golf Course Rd, A Block, DLF Phase 1, Gurugram, Haryana 122002, India",3.7,6,https://maps.google.com/?cid=584204740199035674&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
White Domus,manufacturer,furniture_store,9971321803,https://whitedomus.com/,"1, K-5A Rd, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",3.8,6,https://maps.google.com/?cid=9349863856275880102&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Dura Conveyor Belting Pvt. Ltd.,manufacturer,manufacturer,9311124432,https://durabelting.in/,"710, 7th Floor, Emaar Mgf Capital Tower, 1, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",4.8,6,https://maps.google.com/?cid=5376749770559481016&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Pasupati Spinning & weaving Mills Ltd,manufacturer,manufacturer,9312073925,http://pasupatitextiles.com/,"Plot no 99, Sector 18, Gurugram, Haryana 122015, India",4.3,6,https://maps.google.com/?cid=14550227550617338063&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Vector Logo,manufacturer,service,8860900327,https://www.vectorlogo.in/,"Vector Logo, DLF Cyber City Rd, DLF Cyber City, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",5,6,https://maps.google.com/?cid=3058418609628421216&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Fireman,manufacturer,manufacturer,9310296701,,"701, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",4.5,6,https://maps.google.com/?cid=4375110911199177684&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
